year,continent,voting
1972,Asia,48.829268292682926
1972,Europe,90.18518518518519
1972,Oceania,83.33333333333333
1973,Africa,52.660377358490564
1973,Americas,72.62962962962963
1973,Asia,48.829268292682926
1973,Europe,90.37037037037037
1973,Oceania,83.33333333333333
1974,Africa,48.113207547169814
1974,Americas,72.74074074074075
1974,Asia,48.78048780487805
1974,Europe,92.5925925925926
1974,Oceania,83.33333333333333
1975,Africa,47.698113207547166
1975,Americas,72.74074074074075
1975,Asia,48.78048780487805
1975,Europe,92.5925925925926
1975,Oceania,100
1976,Africa,49.58490566037736
1976,Americas,72.74074074074075
1976,Asia,46.34146341463415
1976,Europe,96.29629629629629
1976,Oceania,100
1977,Africa,53.339622641509436
1977,Americas,72.74074074074075
1977,Asia,43.90243902439025
1977,Europe,100
1977,Oceania,100
1978,Africa,57.113207547169814
1978,Americas,72.81481481481481
1978,Asia,51.21951219512195
1978,Europe,100
1978,Oceania,100
1979,Africa,72.15094339622641
1979,Americas,71.33333333333333
1979,Asia,51.21951219512195
1979,Europe,100
1979,Oceania,100
1980,Africa,73.88679245283019
1980,Americas,71.33333333333333
1980,Asia,51.21951219512195
1980,Europe,100
1980,Oceania,100
1981,Africa,75.77358490566037
1981,Americas,71.33333333333333
1981,Asia,56.09756097560975
1981,Europe,100
1981,Oceania,100
1982,Africa,75.77358490566037
1982,Americas,75.18518518518519
1982,Asia,53.65853658536585
1982,Europe,100
1982,Oceania,100
1983,Africa,75.77358490566037
1983,Americas,78.88888888888889
1983,Asia,56.09756097560975
1983,Europe,100
1983,Oceania,100
1984,Africa,73.88679245283019
1984,Americas,84.07407407407408
1984,Asia,56.09756097560975
1984,Europe,100
1984,Oceania,100
1985,Africa,72
1985,Americas,87.77777777777777
1985,Asia,58.53658536585366
1985,Europe,100
1985,Oceania,100
1986,Africa,73.86792452830188
1986,Americas,88.14814814814815
1986,Asia,60.97560975609756
1986,Europe,100
1986,Oceania,100
1987,Africa,75.75471698113208
1987,Americas,91.85185185185185
1987,Asia,60.97560975609756
1987,Europe,100
1987,Oceania,83.33333333333333
1988,Africa,75.75471698113208
1988,Americas,92.5925925925926
1988,Asia,61.02439024390244
1988,Europe,100
1988,Oceania,83.33333333333333
1989,Africa,77.64150943396227
1989,Americas,92.5925925925926
1989,Asia,68.34146341463415
1989,Europe,96.42857142857143
1989,Oceania,83.33333333333333
1990,Africa,77.62264150943396
1990,Americas,96.29629629629629
1990,Asia,71.46938775510205
1990,Europe,100
1990,Oceania,83.33333333333333
1991,Africa,71.9622641509434
1991,Americas,100
1991,Asia,71.46938775510205
1991,Europe,100
1991,Oceania,83.33333333333333
1992,Africa,75.73584905660377
1992,Americas,100
1992,Asia,73.51020408163265
1992,Europe,97.29729729729729
1992,Oceania,100
1993,Africa,79.50943396226415
1993,Americas,100
1993,Asia,75.51020408163265
1993,Europe,97.36842105263158
1993,Oceania,100
1994,Africa,79.24528301886792
1994,Americas,100
1994,Asia,75.51020408163265
1994,Europe,97.36842105263158
1994,Oceania,100
1995,Africa,81.13207547169812
1995,Americas,100
1995,Asia,75.51020408163265
1995,Europe,97.36842105263158
1995,Oceania,100
1996,Africa,86.79245283018868
1996,Americas,100
1996,Asia,77.55102040816327
1996,Europe,100
1996,Oceania,100
1997,Africa,84.90566037735849
1997,Americas,100
1997,Asia,78.57981632653062
1997,Europe,100
1997,Oceania,100
1998,Africa,86.79245283018868
1998,Americas,100
1998,Asia,79.65306122448979
1998,Europe,100
1998,Oceania,100
1999,Africa,81.13207547169812
1999,Americas,100
1999,Asia,77.61224489795919
1999,Europe,100
1999,Oceania,100
2000,Africa,86.79245283018868
2000,Americas,100
2000,Asia,77.74595918367346
2000,Europe,100
2000,Oceania,83.33333333333333
